record,type,0_pre-RR,0_post-RR,0_pPeak,0_tPeak,0_rPeak,0_sPeak,0_qPeak,0_qrs_interval,0_pq_interval,0_qt_interval,0_st_interval
I01,N,163,165,0.069610222,-0.083280601,0.614133158,-0.392761319,0.047159284,15,2,27,10
I01,N,165,166,-0.097030038,0.597254429,-0.078703617,-0.078703617,-0.137781281,3,5,14,6
I01,N,166,102,0.109399148,0.68052794,-0.010648647,-0.010648647,-0.720620469,6,25,35,4
I01,VEB,102,231,0.176376471,0.256431069,-0.101097641,-0.707524945,-0.101097641,4,3,14,7
I01,N,231,165,0.585576857,0.607461311,-0.083498942,-0.083498942,-0.167857941,3,34,43,6
I01,N,165,163,0.019637004,-0.111670933,0.613373728,-0.416937006,-0.108554143,21,9,37,7
I01,N,163,166,-0.156761156,0.528148248,-0.145136805,-0.145136805,-0.183749186,2,5,14,7
I01,N,166,161,-0.003887209,0.216948514,1.12025791,0.164411028,-0.725340355,33,17,52,2
I01,N,161,160,-0.006721003,0.164998351,0.601190397,-0.307812288,-0.035102716,15,4,27,8
I01,N,160,158,-0.187870121,0.544414041,-0.018563902,-0.018563902,-0.194882578,5,2,12,5
I02,N,181,183,0.109340505,0.110391154,0.823517265,-0.190571702,0.097526784,15,3,24,6
I02,N,183,112,-0.096218114,0.625899893,-0.041429884,-0.041429884,-0.111170917,3,3,12,6
I02,VEB,112,99,0.287434029,0.324884584,-0.274365171,-0.614812985,-0.274365171,3,5,15,7
I02,N,99,160,-0.203768341,-0.110657561,0.481240416,-0.35244801,-0.228769478,15,4,26,7
I02,N,160,185,-0.052486911,0.761806548,-0.056848547,-0.056848547,-0.075615653,1,4,12,7
I02,N,185,188,-0.055815463,0.609367751,-0.040818715,-0.040818715,-0.090736919,2,4,12,6
I02,N,188,186,-0.035141687,-0.044557217,0.588436018,-0.318558396,-0.078012001,15,5,27,7
I02,N,186,113,-0.032242427,0.685090047,-0.047545256,-0.047545256,-0.062615309,1,4,12,7
I02,VEB,113,97,0.254891416,0.300920635,-0.210446132,-0.568593028,-0.210446132,3,4,14,7
I02,N,97,169,-0.253169032,0.44364017,-0.153458322,-0.153458322,-0.268345572,3,3,11,5
I03,N,172,172,0.166720209,0.353410398,0.437921013,0.31309673,0.165423189,15,1,20,4
I03,N,172,175,-0.001165917,0.121710964,0.224227971,0.100643974,-0.017173942,13,5,22,4
I03,N,175,179,0.040195272,0.15105131,0.267320311,0.130109844,0.015433885,13,5,22,4
I03,N,179,180,0.034387339,0.142872627,0.2659846,0.120737554,0.012921065,13,5,22,4
I03,N,180,181,0.039265031,0.146902408,0.294086667,0.121185407,0.020045903,14,5,22,3
I03,N,181,184,0.033102792,0.144953465,0.261750719,0.121463617,0.02194308,13,6,23,4
I03,N,184,187,0.043155442,0.155242609,0.260269628,0.135879141,0.024508827,13,5,21,3
I03,N,187,185,0.028646409,0.149124652,0.267944919,0.124262351,0.012237938,14,4,21,3
I03,N,185,181,0.036210558,0.138706578,0.287565156,0.111436951,0.026271634,14,2,20,4
I03,N,181,179,0.029030896,0.146974172,0.262797198,0.125126393,0.021005684,13,4,21,4
I04,N,198,206,0.916184571,1.067083202,1.316059565,1.054517541,0.910585534,15,2,19,2
I04,N,206,218,-0.104216611,0.221658349,-0.063403451,-0.063403451,-0.131077175,3,4,12,5
I04,N,218,223,-0.003018769,0.063170482,0.295264912,0.049023615,-0.036711784,14,5,22,3
I04,N,223,225,-0.010656249,0.048202343,0.328274084,0.027924692,-0.03812493,15,8,26,3
I04,N,225,233,0.000380415,0.077531263,0.309818158,0.056126822,-0.043778545,13,7,24,4
I04,N,233,237,-0.011131274,0.079515254,0.27444011,0.066011756,-0.045770013,15,7,24,2
I04,N,237,224,-0.014873809,0.043888049,0.325130593,0.02633088,-0.045438848,14,5,22,3
I04,N,224,224,-0.00633201,0.051866503,0.319371821,0.030414481,-0.02746214,15,6,24,3
I04,N,224,232,0.003144395,0.076368508,0.291792319,0.064873063,-0.034734131,14,9,25,2
I04,N,232,228,-0.00963341,0.079745831,0.273750887,0.067492396,-0.048147617,14,5,22,3
I05,N,258,266,0.000636331,0.178287015,-0.103096781,-0.103096781,-0.108372561,1,7,14,6
I05,N,266,261,-0.021638463,0.188226363,-0.125313564,-0.125313564,-0.135333396,1,9,16,6
I05,N,261,269,-0.003806968,0.18557104,-0.101053885,-0.101053885,-0.101053885,0,8,14,6
I05,N,269,277,-0.028943429,0.154494329,-0.137762964,-0.137762964,-0.137762964,0,8,14,6
I05,N,277,273,-0.02706476,0.209728142,-0.098804279,-0.098804279,-0.118334975,1,10,17,6
I05,N,273,277,-0.048020236,0.143724424,-0.14038934,-0.14038934,-0.149578353,1,7,14,6
I05,N,277,279,-0.035301644,0.154529702,-0.140013458,-0.140013458,-0.140013458,0,8,14,6
I05,N,279,275,-0.027799101,0.213414907,-0.108909778,-0.108909778,-0.120870319,1,7,14,6
I05,N,275,280,-0.037859728,0.163961816,-0.131240418,-0.131240418,-0.139464251,1,7,14,6
I05,N,280,279,-0.029070595,0.168937961,-0.123971652,-0.123971652,-0.136060788,1,7,14,6
I06,N,185,191,-0.1347607,-0.221336541,0.920192241,-1.040628497,-0.180004367,16,5,28,7
I06,N,191,195,0.02353203,-0.270257929,1.080092771,-0.905786999,-0.132299607,24,10,41,7
I06,N,195,192,-0.071116101,-0.237570749,1.068926258,-0.868370623,-0.131439828,22,5,35,8
I06,N,192,173,0.060422465,-0.20494127,0.934462284,-0.850134335,-0.107797415,26,10,43,7
I06,N,173,144,-0.098892815,-0.197005587,0.861295762,-0.837395854,-0.112933293,18,5,29,6
I06,SVEB,144,218,-0.03869258,-0.294579925,0.963418333,-0.781048166,-0.039345632,17,1,24,6
I06,N,218,194,0.045966737,-0.298606589,1.130423091,-0.806072118,-0.103102306,23,13,42,6
I06,N,194,190,-0.129123166,-0.303676631,1.042928324,-0.80356601,-0.163531883,19,6,32,7
I06,N,190,193,-0.075372185,-0.236892933,1.008495479,-0.844735595,-0.083557144,17,3,27,7
I06,N,193,180,0.023480526,-0.225208546,0.842375328,-0.767879105,-0.135122603,24,12,43,7
I07,N,196,188,1.204629182,0.962645149,1.921960038,0.474315376,1.201781553,16,3,26,7
I07,N,188,197,-0.12798525,-0.168330465,0.613661904,-0.72658033,-0.247540606,26,8,41,7
I07,N,197,188,0.023327423,-0.104371556,0.769355865,-0.69882402,-0.088519334,25,10,42,7
I07,N,188,198,-0.079603061,-0.084195215,0.702989656,-0.624269051,-0.079695043,18,1,25,6
I07,N,198,190,0.040160246,-0.093173618,0.722777439,-0.646718211,-0.08244888,25,10,42,7
I07,N,190,197,0.027523833,-0.091476717,0.715839422,-0.657015096,-0.10758846,26,9,42,7
I07,N,197,190,-0.075967515,-0.087673571,0.704061425,-0.674466657,-0.076788667,18,2,27,7
I07,N,190,196,0.015753288,-0.085689338,0.714334307,-0.628626845,-0.108341227,26,9,41,6
I07,N,196,186,0.045426554,-0.085248465,0.70468917,-0.663299341,-0.088621277,24,11,42,7
I07,N,186,200,0.020358599,-0.103789247,0.779858378,-0.708515961,-0.101740841,26,9,42,7
I08,N,246,248,0.118939904,-0.142136665,0.934113428,-0.59255276,-0.097037562,25,17,49,7
I08,N,248,252,0.138863809,-0.195440953,0.94095917,-0.600244495,-0.099234648,26,17,50,7
I08,N,252,258,0.151519867,-0.192410345,0.898323449,-0.589142495,-0.106258066,26,16,48,6
I08,N,258,260,0.143628922,-0.186776882,0.863963294,-0.563981669,-0.100441422,26,17,49,6
I08,N,260,260,0.126994134,-0.153689711,0.806510493,-0.54303734,-0.120905846,28,13,47,6
I08,N,260,260,0.138255891,-0.147669291,0.792303981,-0.524562832,-0.104718323,25,15,46,6
I08,N,260,259,0.151616275,-0.139959911,0.717107643,-0.496993306,-0.089165122,24,17,47,6
I08,N,259,251,0.146667681,-0.194049194,0.903515016,-0.59855101,-0.095556236,26,17,49,6
I08,N,251,254,0.145048565,-0.14479545,0.795068182,-0.569961053,-0.099929723,27,14,48,7
I08,N,254,257,0.143555938,-0.146146762,0.773791857,-0.556251813,-0.098916024,26,15,48,7
I09,N,192,182,0.217467882,0.222998253,0.357931791,-0.164523332,0.087808693,12,20,38,6
I09,N,182,179,0.027331788,0.220255328,-0.035523625,-0.035523625,-0.05882732,1,8,13,4
I09,N,179,178,0.024794873,0.221480286,-0.009155661,-0.009155661,-0.046874264,2,5,11,4
I09,N,178,177,0.035465611,0.20986145,-0.043546552,-0.043546552,-0.061784419,1,6,11,4
I09,N,177,176,0.030418233,0.202673095,-0.080296407,-0.080296407,-0.080296407,0,11,16,5
I09,N,176,173,0.036034631,0.287220942,-0.024045533,-0.024045533,-0.033148758,1,8,14,5
I09,N,173,171,0.040822143,0.41571563,-0.047323688,-0.047323688,-0.050513446,1,5,11,5
I09,N,171,166,0.041415895,0.299815031,-0.060093738,-0.060093738,-0.07534065,1,7,13,5
I09,N,166,163,0.032614849,0.244911959,-0.052565298,-0.052565298,-0.071313013,1,6,12,5
I09,N,163,163,0.05331651,0.19718847,-0.060651728,-0.060651728,-0.074940034,1,7,13,5
I10,N,125,127,-0.308621298,0.277717374,-0.353427249,-0.353427249,-0.365885277,1,7,14,6
I10,N,127,126,0.09860263,0.482259626,-0.013651732,-0.013651732,-0.013651732,0,8,14,6
I10,N,126,128,0.004475351,0.633313976,-0.090398316,-0.090398316,-0.099283773,1,12,19,6
I10,N,128,127,0.010254744,0.649744693,-0.073345918,-0.073345918,-0.086495713,1,14,21,6
I10,N,127,125,0.082407979,-0.003598728,0.653539239,-0.313732698,0.0181948,12,5,24,7
I10,N,125,126,0.063946392,0.459231078,-0.104001106,-0.104001106,-0.121634393,1,7,13,5
I10,N,126,127,0.033619711,0.453090601,-0.065419963,-0.065419963,-0.065419963,0,6,11,5
I10,N,127,130,0.007026322,0.697004308,-0.056267731,-0.056267731,-0.069515437,1,7,14,6
I10,N,130,121,-0.012820603,0.101433497,0.530665598,-0.36822964,-0.071142927,13,5,34,16
I10,N,121,124,0.067958409,0.428746883,-0.073660031,-0.073660031,-0.074064696,1,10,16,5
I11,N,193,224,0.006596878,-0.003393668,0.722730679,-0.356732807,-0.047051412,14,6,25,5
I11,N,224,222,0.049025874,0.027057142,0.743202289,-0.343859345,-0.009345864,14,6,26,6
I11,N,222,210,0.048984066,0.02705316,0.810042432,-0.401913735,0.007264272,14,5,25,6
I11,N,210,199,0.05241663,0.00809346,0.808807596,-0.353562137,-0.002399478,14,6,26,6
I11,N,199,199,0.054105063,0.018799177,0.744141314,-0.32697833,-0.001485001,13,6,25,6
I11,N,199,199,0.058760461,0.016535431,0.775420075,-0.351510122,0.003461305,14,7,27,6
